timestamp,ride_id,people_in_queue,active_riders,crowd_level
2026-03-25 10:00:00,AQ01,33,1,0.405
2026-03-25 10:00:00,AQ02,39,0,0.345
2026-03-25 10:00:00,AQ03,36,0,0.372
2026-03-25 10:00:00,AQ04,32,0,0.396
2026-03-25 10:00:00,AQ05,43,2,0.348
2026-03-25 10:00:00,AQ06,25,1,0.288
2026-03-25 10:00:00,AQ07,28,3,0.407
2026-03-25 10:00:00,AQ08,31,2,0.35
2026-03-25 10:00:00,AQ09,23,1,0.257
2026-03-25 10:00:00,AQ10,30,1,0.287
2026-03-25 10:00:00,AQ11,18,8,0.217
2026-03-25 10:00:00,AQ12,39,72,0.345
2026-03-25 10:00:00,AQ13,33,17,0.352
2026-03-25 10:00:00,AQ14,32,7,0.204
2026-03-25 10:00:00,AQ15,28,23,0.234
2026-03-25 10:01:00,AQ01,36,0,0.357
2026-03-25 10:01:00,AQ02,36,2,0.306
2026-03-25 10:01:00,AQ03,36,2,0.36
2026-03-25 10:01:00,AQ04,32,2,0.279
2026-03-25 10:01:00,AQ05,50,0,0.294
2026-03-25 10:01:00,AQ06,22,1,0.377
2026-03-25 10:01:00,AQ07,33,3,0.321
2026-03-25 10:01:00,AQ08,19,3,0.319
2026-03-25 10:01:00,AQ09,31,0,0.212
2026-03-25 10:01:00,AQ10,17,0,0.236
2026-03-25 10:01:00,AQ11,22,12,0.249
2026-03-25 10:01:00,AQ12,34,65,0.315
2026-03-25 10:01:00,AQ13,37,16,0.363
2026-03-25 10:01:00,AQ14,26,6,0.274
2026-03-25 10:01:00,AQ15,28,32,0.309
2026-03-25 10:02:00,AQ01,50,1,0.359
2026-03-25 10:02:00,AQ02,38,0,0.453
2026-03-25 10:02:00,AQ03,30,0,0.348
2026-03-25 10:02:00,AQ04,31,2,0.275
2026-03-25 10:02:00,AQ05,50,2,0.41
2026-03-25 10:02:00,AQ06,29,0,0.246
2026-03-25 10:02:00,AQ07,28,0,0.347
2026-03-25 10:02:00,AQ08,27,0,0.222
2026-03-25 10:02:00,AQ09,24,2,0.221
2026-03-25 10:02:00,AQ10,22,1,0.276
2026-03-25 10:02:00,AQ11,14,16,0.283
2026-03-25 10:02:00,AQ12,29,74,0.386
2026-03-25 10:02:00,AQ13,28,18,0.343
2026-03-25 10:02:00,AQ14,35,12,0.292
2026-03-25 10:02:00,AQ15,30,28,0.254
2026-03-25 10:03:00,AQ01,38,1,0.358
2026-03-25 10:03:00,AQ02,47,4,0.342
2026-03-25 10:03:00,AQ03,46,2,0.406
2026-03-25 10:03:00,AQ04,31,2,0.349
2026-03-25 10:03:00,AQ05,32,1,0.285
2026-03-25 10:03:00,AQ06,24,0,0.327
2026-03-25 10:03:00,AQ07,40,0,0.321
2026-03-25 10:03:00,AQ08,31,2,0.29
2026-03-25 10:03:00,AQ09,26,1,0.321
2026-03-25 10:03:00,AQ10,20,0,0.321
2026-03-25 10:03:00,AQ11,19,13,0.296
2026-03-25 10:03:00,AQ12,41,67,0.34
2026-03-25 10:03:00,AQ13,25,18,0.337
2026-03-25 10:03:00,AQ14,39,10,0.328
2026-03-25 10:03:00,AQ15,29,38,0.381
2026-03-25 10:04:00,AQ01,39,0,0.375
2026-03-25 10:04:00,AQ02,26,1,0.36
2026-03-25 10:04:00,AQ03,36,2,0.302
2026-03-25 10:04:00,AQ04,31,1,0.276
2026-03-25 10:04:00,AQ05,37,0,0.419
2026-03-25 10:04:00,AQ06,43,0,0.383
2026-03-25 10:04:00,AQ07,36,2,0.341
2026-03-25 10:04:00,AQ08,26,1,0.378
2026-03-25 10:04:00,AQ09,24,1,0.312
2026-03-25 10:04:00,AQ10,32,0,0.241
2026-03-25 10:04:00,AQ11,36,15,0.27
2026-03-25 10:04:00,AQ12,41,92,0.463
2026-03-25 10:04:00,AQ13,41,17,0.355
2026-03-25 10:04:00,AQ14,36,10,0.393
2026-03-25 10:04:00,AQ15,45,22,0.205
2026-03-25 10:05:00,AQ01,25,0,0.445
2026-03-25 10:05:00,AQ02,43,3,0.378
2026-03-25 10:05:00,AQ03,44,0,0.346
2026-03-25 10:05:00,AQ04,23,2,0.345
2026-03-25 10:05:00,AQ05,31,2,0.283
2026-03-25 10:05:00,AQ06,25,0,0.308
2026-03-25 10:05:00,AQ07,29,0,0.366
2026-03-25 10:05:00,AQ08,29,3,0.405
2026-03-25 10:05:00,AQ09,32,0,0.272
2026-03-25 10:05:00,AQ10,35,0,0.236
2026-03-25 10:05:00,AQ11,34,12,0.23
2026-03-25 10:05:00,AQ12,32,87,0.437
2026-03-25 10:05:00,AQ13,29,20,0.378
2026-03-25 10:05:00,AQ14,42,7,0.292
2026-03-25 10:05:00,AQ15,39,32,0.366
2026-03-25 10:06:00,AQ01,42,1,0.413
2026-03-25 10:06:00,AQ02,42,4,0.427
2026-03-25 10:06:00,AQ03,36,2,0.33
2026-03-25 10:06:00,AQ04,39,0,0.328
2026-03-25 10:06:00,AQ05,36,2,0.367
2026-03-25 10:06:00,AQ06,34,0,0.249
2026-03-25 10:06:00,AQ07,23,3,0.367
2026-03-25 10:06:00,AQ08,28,2,0.348
2026-03-25 10:06:00,AQ09,25,0,0.301
2026-03-25 10:06:00,AQ10,25,1,0.268
2026-03-25 10:06:00,AQ11,18,8,0.187
2026-03-25 10:06:00,AQ12,35,76,0.375
2026-03-25 10:06:00,AQ13,24,18,0.348
2026-03-25 10:06:00,AQ14,37,12,0.282
2026-03-25 10:06:00,AQ15,34,37,0.336
2026-03-25 10:07:00,AQ01,28,0,0.433
2026-03-25 10:07:00,AQ02,32,4,0.477
2026-03-25 10:07:00,AQ03,40,1,0.378
2026-03-25 10:07:00,AQ04,30,0,0.361
2026-03-25 10:07:00,AQ05,34,0,0.388
2026-03-25 10:07:00,AQ06,32,1,0.23
2026-03-25 10:07:00,AQ07,38,2,0.355
2026-03-25 10:07:00,AQ08,22,3,0.342
2026-03-25 10:07:00,AQ09,35,1,0.428
2026-03-25 10:07:00,AQ10,22,0,0.273
2026-03-25 10:07:00,AQ11,26,14,0.276
2026-03-25 10:07:00,AQ12,40,79,0.398
2026-03-25 10:07:00,AQ13,33,13,0.311
2026-03-25 10:07:00,AQ14,24,9,0.383
2026-03-25 10:07:00,AQ15,33,40,0.386
2026-03-25 10:08:00,AQ01,55,0,0.458
2026-03-25 10:08:00,AQ02,28,1,0.342
2026-03-25 10:08:00,AQ03,51,1,0.444
