user_id,group_size,age_group,thrill_preference,visit_duration_hours,budget_level
USR_00001,4,kids,0.37,6.8,medium
USR_00002,5,kids,0.1,7.6,medium
USR_00003,3,mixed,0.76,4.0,high
USR_00004,5,mixed,0.54,6.4,low
USR_00005,5,mixed,0.62,5.7,medium
USR_00006,2,adults,0.97,2.0,low
USR_00007,3,kids,0.27,4.4,medium
USR_00008,3,mixed,0.44,4.8,high
USR_00009,3,mixed,0.35,6.0,medium
USR_00010,5,kids,0.21,8.1,high
USR_00011,4,mixed,0.46,4.3,medium
USR_00012,3,kids,0.52,4.0,medium
USR_00013,6,kids,0.41,6.3,low
USR_00014,5,kids,0.42,6.4,medium
USR_00015,2,adults,0.7,5.3,medium
USR_00016,4,kids,0.56,6.0,low
USR_00017,6,kids,0.57,7.4,medium
USR_00018,6,mixed,0.62,7.0,medium
USR_00019,2,adults,0.62,2.0,medium
USR_00020,4,kids,0.33,7.3,medium
USR_00021,5,kids,0.19,6.0,medium
USR_00022,1,adults,0.53,4.7,low
USR_00023,4,kids,0.35,5.4,low
USR_00024,2,adults,0.88,6.5,medium
USR_00025,6,mixed,0.64,8.0,medium
USR_00026,5,mixed,0.63,4.3,low
USR_00027,4,mixed,0.58,6.0,high
USR_00028,1,adults,0.5,3.1,medium
USR_00029,1,adults,0.54,2.3,medium
USR_00030,3,mixed,0.51,3.9,low
USR_00031,3,kids,0.39,3.3,medium
USR_00032,2,adults,0.54,4.1,medium
USR_00033,4,kids,0.43,6.0,medium
USR_00034,4,mixed,0.4,4.5,medium
USR_00035,6,kids,0.35,10.0,high
USR_00036,6,adults,0.5,7.4,medium
USR_00037,6,mixed,0.62,5.8,low
USR_00038,3,kids,0.58,2.9,medium
USR_00039,4,mixed,0.5,5.8,medium
USR_00040,4,mixed,0.65,5.4,medium
USR_00041,1,mixed,0.67,3.7,low
USR_00042,3,kids,0.53,4.2,low
USR_00043,5,mixed,0.78,6.1,high
USR_00044,3,kids,0.47,6.9,medium
USR_00045,5,adults,0.86,8.0,high
USR_00046,1,adults,0.52,3.0,medium
USR_00047,2,adults,0.63,4.3,medium
USR_00048,4,mixed,0.56,6.3,medium
USR_00049,1,mixed,0.33,2.6,high
USR_00050,4,mixed,0.59,5.9,medium
USR_00051,6,kids,0.25,6.8,medium
USR_00052,2,adults,0.86,4.2,low
USR_00053,2,kids,0.38,3.2,medium
USR_00054,1,mixed,0.38,2.6,medium
USR_00055,2,mixed,0.48,5.6,low
USR_00056,5,kids,0.2,7.5,low
USR_00057,2,adults,0.97,2.0,medium
USR_00058,4,mixed,0.59,6.6,low
USR_00059,4,mixed,0.48,5.1,low
USR_00060,4,kids,0.23,4.9,medium
USR_00061,4,mixed,0.52,5.5,high
USR_00062,5,mixed,0.44,5.4,medium
USR_00063,3,kids,0.11,3.6,low
USR_00064,6,kids,0.46,5.4,low
USR_00065,1,adults,0.49,2.0,medium
USR_00066,4,mixed,0.3,4.5,medium
USR_00067,2,adults,0.49,5.5,high
USR_00068,4,kids,0.25,5.8,medium
USR_00069,2,mixed,0.66,4.8,medium
USR_00070,6,kids,0.29,6.7,low
USR_00071,6,kids,0.28,5.7,medium
USR_00072,6,kids,0.29,7.4,low
USR_00073,2,adults,0.59,3.9,high
USR_00074,4,mixed,0.58,6.5,medium
USR_00075,6,kids,0.18,5.9,medium
USR_00076,5,mixed,0.31,5.2,low
USR_00077,2,adults,0.6,3.2,low
USR_00078,2,adults,0.9,4.9,medium
USR_00079,4,kids,0.53,5.4,low
USR_00080,2,adults,0.83,4.1,medium
USR_00081,2,adults,0.78,5.9,low
USR_00082,6,mixed,0.66,5.1,medium
USR_00083,4,mixed,0.38,5.5,high
USR_00084,6,kids,0.38,6.0,medium
USR_00085,6,kids,0.55,5.2,medium
USR_00086,4,kids,0.58,4.3,low
USR_00087,1,adults,0.8,3.6,low
USR_00088,6,kids,0.48,6.6,medium
USR_00089,5,mixed,0.72,6.1,medium
USR_00090,5,kids,0.18,4.4,medium
USR_00091,2,adults,0.98,2.6,low
USR_00092,5,mixed,0.76,5.4,low
USR_00093,2,adults,0.63,4.4,low
USR_00094,1,adults,0.86,2.3,high
USR_00095,4,adults,0.71,4.7,low
USR_00096,4,kids,0.19,7.0,medium
USR_00097,4,mixed,0.54,4.7,low
USR_00098,5,kids,0.19,4.0,medium
USR_00099,1,adults,0.5,4.8,medium
